Sample	Population code	Population	Superpopulation	Panel	N_individuals	Source_dataset
HG02922	ESN	Esan	African	AFR	99	
HG02923	ESN	Esan	African	AFR	99	
HG02938	ESN	Esan	African	AFR	99	
HG02941	ESN	Esan	African	AFR	99	
HG02943	ESN	Esan	African	AFR	99	
HG02944	ESN	Esan	African	AFR	99	
HG02946	ESN	Esan	African	AFR	99	
HG02952	ESN	Esan	African	AFR	99	
HG02953	ESN	Esan	African	AFR	99	
HG02968	ESN	Esan	African	AFR	99	
HG02970	ESN	Esan	African	AFR	99	
HG02971	ESN	Esan	African	AFR	99	
HG02973	ESN	Esan	African	AFR	99	
HG02974	ESN	Esan	African	AFR	99	
HG02976	ESN	Esan	African	AFR	99	
HG02977	ESN	Esan	African	AFR	99	
HG02981	ESN	Esan	African	AFR	99	
HG03099	ESN	Esan	African	AFR	99	
HG03100	ESN	Esan	African	AFR	99	
HG03103	ESN	Esan	African	AFR	99	
HG03105	ESN	Esan	African	AFR	99	
HG03108	ESN	Esan	African	AFR	99	
HG03109	ESN	Esan	African	AFR	99	
HG03111	ESN	Esan	African	AFR	99	
HG03112	ESN	Esan	African	AFR	99	
HG03114	ESN	Esan	African	AFR	99	
HG03115	ESN	Esan	African	AFR	99	
HG03118	ESN	Esan	African	AFR	99	
HG03120	ESN	Esan	African	AFR	99	
HG03121	ESN	Esan	African	AFR	99	
HG03123	ESN	Esan	African	AFR	99	
HG03124	ESN	Esan	African	AFR	99	
HG03126	ESN	Esan	African	AFR	99	
HG03127	ESN	Esan	African	AFR	99	
HG03129	ESN	Esan	African	AFR	99	
HG03130	ESN	Esan	African	AFR	99	
HG03132	ESN	Esan	African	AFR	99	
HG03133	ESN	Esan	African	AFR	99	
HG03135	ESN	Esan	African	AFR	99	
HG03136	ESN	Esan	African	AFR	99	
HG03139	ESN	Esan	African	AFR	99	
HG03157	ESN	Esan	African	AFR	99	
HG03159	ESN	Esan	African	AFR	99	
HG03160	ESN	Esan	African	AFR	99	
HG03162	ESN	Esan	African	AFR	99	
HG03163	ESN	Esan	African	AFR	99	
HG03166	ESN	Esan	African	AFR	99	
HG03168	ESN	Esan	African	AFR	99	
HG03169	ESN	Esan	African	AFR	99	
HG03172	ESN	Esan	African	AFR	99	
HG03175	ESN	Esan	African	AFR	99	
HG03189	ESN	Esan	African	AFR	99	
HG03190	ESN	Esan	African	AFR	99	
HG03193	ESN	Esan	African	AFR	99	
HG03195	ESN	Esan	African	AFR	99	
HG03196	ESN	Esan	African	AFR	99	
HG03198	ESN	Esan	African	AFR	99	
HG03199	ESN	Esan	African	AFR	99	
HG03202	ESN	Esan	African	AFR	99	
HG03265	ESN	Esan	African	AFR	99	
HG03267	ESN	Esan	African	AFR	99	
HG03268	ESN	Esan	African	AFR	99	
HG03270	ESN	Esan	African	AFR	99	
HG03271	ESN	Esan	African	AFR	99	
HG03279	ESN	Esan	African	AFR	99	
HG03280	ESN	Esan	African	AFR	99	
HG03291	ESN	Esan	African	AFR	99	
HG03294	ESN	Esan	African	AFR	99	
HG03295	ESN	Esan	African	AFR	99	
HG03297	ESN	Esan	African	AFR	99	
HG03298	ESN	Esan	African	AFR	99	
HG03300	ESN	Esan	African	AFR	99	
HG03301	ESN	Esan	African	AFR	99	
HG03303	ESN	Esan	African	AFR	99	
HG03304	ESN	Esan	African	AFR	99	
HG03311	ESN	Esan	African	AFR	99	
HG03313	ESN	Esan	African	AFR	99	
HG03342	ESN	Esan	African	AFR	99	
HG03343	ESN	Esan	African	AFR	99	
HG03351	ESN	Esan	African	AFR	99	
HG03352	ESN	Esan	African	AFR	99	
HG03354	ESN	Esan	African	AFR	99	
HG03363	ESN	Esan	African	AFR	99	
HG03366	ESN	Esan	African	AFR	99	
HG03367	ESN	Esan	African	AFR	99	
HG03369	ESN	Esan	African	AFR	99	
HG03370	ESN	Esan	African	AFR	99	
HG03372	ESN	Esan	African	AFR	99	
HG03499	ESN	Esan	African	AFR	99	
HG03511	ESN	Esan	African	AFR	99	
HG03514	ESN	Esan	African	AFR	99	
HG03515	ESN	Esan	African	AFR	99	
HG03517	ESN	Esan	African	AFR	99	
HG03518	ESN	Esan	African	AFR	99	
HG03520	ESN	Esan	African	AFR	99	
HG03521	ESN	Esan	African	AFR	99	
HG02461	GWD	Gambian Mandinka	African	AFR	113	
HG02464	GWD	Gambian Mandinka	African	AFR	113	
HG02465	GWD	Gambian Mandinka	African	AFR	113	
